1,A Thousand Splendid Suns,"A tale of two generations of characters brought jarringly together by the tragic sweep of war, where personal lives are inextricable from the history playing out around them.",images/book_covers/a-thousand-splendid-suns.jpg
2,The Education of a British-Protected Child,"From a vivid portrait of growing up in colonial Nigeria to considerations on the African-American Diaspora, this personal and wise collection is an indispensable addition to the remarkable Achebe oeuvre.",images/book_covers/the-education-of-a-british-protected-child.jpg
3,No is Not Enough,"This is one attempt to uncover how we got to this surreal political moment. It is also an attempt to predict how, under cover of shocks and crises, it could get a lot worse.",images/book_covers/no-is-not-enough.jpg
4,The Lies that Bind,"Gender. Religion. Race. Nationality. Class. Culture. Such affiliations give contours to our sense of self, and shape our polarized world. Yet the collective identities they spawn are riddled with contradictions, and cratered with falsehoods.",images/book_covers/the-lies-that-bind.jpg
5,23 things they don't tell you about capitalism,This is a lighthearted book with a serious purpose: to question the assumptions behind the dogma and sheer hype that the dominant school of neoliberal economists-the apostles of the freemarket-have spun since the Age of Reagan.,images/book_covers/capitalism.jpg
6,Heir of Fire,Celaena Sardothien has survived deadly contests and shattering heartbreak—but at an unspeakable cost. Now she must travel to a new land to confront her darkest truth...a truth about her heritage that could change her life—and her future—forever.,images/book_covers/heir-of-fire.jpg
